category,vimeo_id,title,description,page_url,vimeo_url,file,downloaded
dropperstvo,1001508713,Дропперство |,"Мошенники ищут Kaspi Pay «в аренду» под видом магазина по продаже шин ""auto.kz.krg"".",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-moshenniki-ishhut-kaspi-pay-v-arendu-auto.kz.krg,https://vimeo.com/1001508713,outputs/videos/dropperstvo/1001508713.mp4,yes
dropperstvo,1035893773,Дропперство |,Мошеннический Instagram-аккаунт «bench.kz» под видом магазина гаджетов ищет ИП с подключенным Kaspi Pay для проведения мошеннических транзакций.,https://stop-piramida.kz/videos/dropperstvo/vot-tak-ishhut-dropperov!,https://vimeo.com/1035893773,outputs/videos/dropperstvo/1035893773.mp4,yes
dropperstvo,1001528699,Дропперство |,"Под видом магазина gadget_trade мошенники ищут «сотрудников по переводам» и вовлекают людей в дропперство. Работа дроппером приводит к серьёзным последствиям. Посмотрите ролик, прежде чем соглашаться на подобные предложения.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-moshenniki-ishhut-sotrudnikov-po-perevodam-gadget-trade,https://vimeo.com/1001528699,outputs/videos/dropperstvo/1001528699.mp4,yes
dropperstvo,1179657894,Дропперство |,"Мошенники маскируются под интернет-магазин и ищут ИП, чьи счета можно использовать для мошеннических переводов.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-moshenniki-v-poiskax-partnera-iz-kazaxstana-iapple-kg,https://vimeo.com/1179657894,outputs/videos/dropperstvo/1179657894.mp4,yes
dropperstvo,1038467929,Дропперство |,"Мошеннический Instagram-аккаунт ""royal.star_kz"" под видом магазина мебели ищет ИП или ТОО «в аренду» для проведения мошеннических транзакций.",https://stop-piramida.kz/videos/dropperstvo/vsyo-eshhyo-xotite-zarabotat-na-dropperstve,https://vimeo.com/1038467929,outputs/videos/dropperstvo/1038467929.mp4,yes
dropperstvo,1041123996,Дропперство |,"Распаковка Telegram-канала ""Verify it"": под видом «заработка» на верификации мошенники ищут дропперов. Последствия - кредиты и уголовная ответственность.",https://stop-piramida.kz/videos/dropperstvo/raspakovka-telegram-kanala-%C2%ABverify-it%C2%BB,https://vimeo.com/1041123996,outputs/videos/dropperstvo/1041123996.mp4,yes
dropperstvo,1179809534,Дропперство | Instagram-аккаунт в аренду: какие последствия?,,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-instagram-akkaunt-v-arendu-kakie-posledstviya,https://vimeo.com/1179809534,outputs/videos/dropperstvo/1179809534.mp4,yes
dropperstvo,1001502811,Дропперство | История дроппера: как меня втянули в мошенническую схему,"Дроппер рассказывает, как передавал деньги мошенникам, не подозревая, что участвует в незаконной деятельности.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-istoriya-droppera-kak-menya-vtyanuli-v-moshennicheskuyu-sxemu,https://vimeo.com/1001502811,outputs/videos/dropperstvo/1001502811.mp4,yes
dropperstvo,1180288215,Дропперство | Как мошенники находят дропперов для своих схем и во что это выливается?,"Девушка устроилась на работу ""оператором криптообменника"", но позже выяснилось, что её счета использовались в мошеннических схемах.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-kak-moshenniki-naxodyat-dropperov-dlya-svoix-sxem-i-vo-chto-eto-vyilivaetsya,https://vimeo.com/1180288215,outputs/videos/dropperstvo/1180288215.mp4,yes
dropperstvo,1001514010,Дропперство | Кто в Казахстане помогает онлайн-мошенникам?,Кто такие дропперы и зачем они нужны мошенникам?,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-kto-v-kazaxstane-pomogaet-onlajn-moshennikam,https://vimeo.com/1001514010,outputs/videos/dropperstvo/1001514010.mp4,yes
dropperstvo,1180267154,Дропперство | Кто такие дропперы или дропы?,"Дропы помогают преступникам “отмывать” деньги, полученные незаконным путём. Например, деньги, похищенные в результате киберпреступлений в сфере электронной коммерции и платёжных операций: фишинга, вишинга и смишинга.Дроп, или “денежный мул”, — это человек, который соглашается использовать свою банковскую карту как “транзитную” для украденных мошенниками денег. ⚠️ Такая цепочка переводов нужна, чтобы запутать следы преступников и усложнить расследование. Дропы могут переводить деньги в разных странах и от имени разных людей, благодаря чему преступники остаются “невидимыми”. ❗️ Не каждый дроп осознаёт, что вовлекается в преступную схему. Мошенники часто действуют под видом криптовалютных бирж, брокерских компаний и других якобы легальных проектов. Людей заманивают обещаниями лёгкого и быстрого заработка, а за участие в схеме “денежному мулу” выплачивают процент от сумм, которые он помогает переводить и скрывать.",https://stop-piramida.kz/videos/dropperstvo/kto-takie-dropperyi-ili-dropyi,https://vimeo.com/1180267154,outputs/videos/dropperstvo/1180267154.mp4,yes
dropperstvo,1183496997,Дропперство | Лёгкий доход или статья за дропперство?,"В социальных сетях распространяется реклама о «быстром заработке», где обещают доход с каждого перевода и предлагают использовать банковский счёт для денежных операций. По сути, человека вовлекают в дропперство — незаконные транзакции через его банковский счёт. За такие действия может наступить уголовная ответственность.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-lyogkij-doxod-ili-statya-za-dropperstvo,https://vimeo.com/1183496997,outputs/videos/dropperstvo/1183496997.mp4,yes
dropperstvo,1181226529,Дропперство | О взыскании сумм ущерба с дропперов,"Ждем обновления нормативного постановления Верховного суда РК «О судебной практике по делам о мошенничестве», а также давно назревшее нормативное постановление Верховного суда РК «О судебной практике по финансовым пирамидам».",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-o-vzyiskanii-summ-ushherba-s-dropperov,https://vimeo.com/1181226529,outputs/videos/dropperstvo/1181226529.mp4,yes
dropperstvo,1181288736,Дропперство | Почему дропперство процветает?,,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-pochemu-dropperstvo-proczvetaet,https://vimeo.com/1181288736,outputs/videos/dropperstvo/1181288736.mp4,yes
dropperstvo,1001504101,Дропперство | Почему дропперы не несут ответственность?,,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-pochemu-dropperyi-ne-nesut-otvetstvennost,https://vimeo.com/1001504101,outputs/videos/dropperstvo/1001504101.mp4,yes
dropperstvo,1180137922,Дропперство | Почему нельзя сдать ИП в аренду?,,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-pochemu-nelzya-sdat-ip-v-arendu,https://vimeo.com/1180137922,outputs/videos/dropperstvo/1180137922.mp4,yes
dropperstvo,1178203980,Дропперство | Ребёнок-дроппер - убытки в семье,"Ребёнок “сдал в аренду” карту мошенникам, а с родителей через суд взыскали 900 тысяч тенге по статье о неосновательном обогащении.",https://stop-piramida.kz/videos/dropperstvo/roditelyam-na-zametku-rebyonok-dropper-ubyitki-v-seme,https://vimeo.com/1178203980,outputs/videos/dropperstvo/1178203980.mp4,yes
dropperstvo,1041647818,Дропперство | Реклама о наборе дропперов от имени Национального банка,Мошенники размещают рекламу о наборе дропперов от имени Национального банка РК.,https://stop-piramida.kz/videos/dropperstvo/naczionalnyij-bank-posobnik-moshennichestva,https://vimeo.com/1041647818,outputs/videos/dropperstvo/1041647818.mp4,yes
dropperstvo,1181283883,Дропперство | Судебный кейс: взыскали 667 000 тенге с дроппера,"Пытаясь вернуть деньги через лжеюристов, пострадавший перевёл средства на карту дроппера, с которого затем по решению суда взыскали эту сумму.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-sudebnyij-kejs-i-otvetstvennost-vzyiskali-667-000-tenge-s-droppera,https://vimeo.com/1181283883,outputs/videos/dropperstvo/1181283883.mp4,yes
dropperstvo,1043803933,Дропперство | Судебный кейс: взыскали 772 000 тенге с ИП за снегоход,Решением суда с ИП взыскано 772 000 тенге. Таковы последствия для предпринимателя за передачу своего ИП «в аренду» мошенникам.,https://stop-piramida.kz/videos/dropperstvo/ocherednoe-reshenie-suda-v-polzu-postradavshego!,https://vimeo.com/1043803933,outputs/videos/dropperstvo/1043803933.mp4,yes
dropperstvo,1001529385,Дропперство | Судебный кейс: внук оформил ИП на бабушку,"Смотрите, чем грозит сдача ИП ""в аренду"" мошенникам. Внук оформил ИП на бабушку и передал его мошенникам. Теперь он возмещает ущерб пострадавшим.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-sudebnyij-kejs-i-otvetstvennost-chem-grozit-sdacha-ip-v-arendu-moshennikam,https://vimeo.com/1001529385,outputs/videos/dropperstvo/1001529385.mp4,yes
dropperstvo,1180941676,Дропперство | Судебный кейс: гайд по взысканию средств с дропперов,Мошенники оформили на пострадавшую кредиты. С дропперов взыскана сумма 2 300 000 тенге в качестве неосновательного обогащения.,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-sudebnyij-kejs-gajd-po-vzyiskaniyu-sredstv-s-dropperov,https://vimeo.com/1180941676,outputs/videos/dropperstvo/1180941676.mp4,yes
dropperstvo,1181904886,Дропперство | Судебный кейс: суд взыскал деньги с матери дроппера,Мошенники использовали в качестве дроппера несовершеннолетнюю девушку.,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-sudebnyij-kejs-i-otvetsnvennost-sud-vzyiskal-dengi-s-materi-droppera,https://vimeo.com/1181904886,outputs/videos/dropperstvo/1181904886.mp4,yes
dropperstvo,1039994325,Дропперство | Судебный кейс: ТОО в аренду,"Сдавая ТОО ""в аренду"" мошенникам, вы становитесь соучастником преступления. Разбираем судебный кейс.","https://stop-piramida.kz/videos/dropperstvo/vot,-chto-budet-esli-sdat-too-v-arendu!",https://vimeo.com/1039994325,outputs/videos/dropperstvo/1039994325.mp4,yes
dropperstvo,1180304439,Дропперство | Судебный кейс: чем заканчивается работа дроппером?,,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-sudebnyij-kejs-i-otvetstvennost-chem-zakanchivaetsya-rabota-dropperom,https://vimeo.com/1180304439,outputs/videos/dropperstvo/1180304439.mp4,yes
dropperstvo,1181532792,Дропперство | Судебный кейс: чем могут обернуться предложения об удаленной работе?,"Мы выиграли суд против дроппера в интересах жителя Петропавловска, у которого мошенники выманили 18 млн тенге.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-sudebnyij-kejs-i-otvetctvennost-chem-mogut-obernutsya-predlozheniya-ob-udalennoj-rabote,https://vimeo.com/1181532792,outputs/videos/dropperstvo/1181532792.mp4,yes
dropperstvo,1001512819,Дропперство | Такая работа - дорога в тюрьму,,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-takaya-rabota-doroga-v-tyurmu,https://vimeo.com/1001512819,outputs/videos/dropperstvo/1001512819.mp4,yes
dropperstvo,1185395283,Дропперство | Удаленная работа - это не всегда безопасно,"Мошенники размещают объявления о простой удалённой работе: обещают высокий доход, свободный график и оплату за «переводы» через банковскую карту. На деле человека используют как дроппера — через его счёт проводят чужие деньги, полученные мошенническим путём. В одном из таких случаев женщина откликнулась на вакансию «кассира», согласилась принимать деньги на свою карту и переводить их дальше. Спустя несколько дней банк сообщил о поступлении мошеннических средств, а полиция указала, что она участвовала в схеме как дроппер. Такие «подработки» могут закончиться блокировкой счетов, проверками и уголовными последствиями.",https://stop-piramida.kz/videos/dropperstvo/opasnaya-rabota-udalennaya-rabota-eto-ne-vsegda-bezopasno,https://vimeo.com/1185395283,outputs/videos/dropperstvo/1185395283.mp4,yes
dropperstvo,1001505146,Дропперство | Чем грозит сдача интернет-магазина,Владелец ИП получил крупное доначисление налогов после сдачи своего бизнеса «в аренду» мошенникам.,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-chem-grozit-sdacha-ip-v-arendu,https://vimeo.com/1001505146,outputs/videos/dropperstvo/1001505146.mp4,yes
dropperstvo,1182742221,Дропперство | Что скрывается за «вакансией» по аренде банковских карт?,"Некая компания под названием ""cryptocom.kz"" предлагает работу с оплатой за «аренду» банковских счетов и криптовалютных аккаунтов. Фактически речь может идти об использовании чужих реквизитов для вывода и обналичивания денег, полученных преступным путём. В такой схеме именно владелец счёта или аккаунта рискует стать основным фигурантом и нести ответственность.",https://stop-piramida.kz/videos/dropperstvo/opasnaya-rabota-chto-skryivaetsya-za-%C2%ABvakansiej%C2%BB-po-arende-bankovskix-kart,https://vimeo.com/1182742221,outputs/videos/dropperstvo/1182742221.mp4,yes
dropperstvo,1184399025,"Дропперство | Это не заработок, это уголовка","В соцсетях пользователям предлагают «лёгкий заработок» — продать банковскую карту Alatau City за 60 тысяч тенге. В переписке мошенники убеждают передать карту, ссылаясь на якобы «легальный P2P-трафик» и обещая выплаты за её использование. По сути, человека пытаются втянуть в дропперство — передачу своей банковской карты третьим лицам для проведения финансовых операций. За такие действия может наступить уголовная ответственность — до 7 лет лишения свободы.","https://stop-piramida.kz/videos/dropperstvo/dropperstvo-eto-ne-zarabotok,-eto-ugolovka",https://vimeo.com/1184399025,outputs/videos/dropperstvo/1184399025.mp4,yes
dropperstvo,1185395309,Информация | Банк заблокировал карту или операцию: что это значит?,"Банк может временно заморозить транзакцию или расходную операцию по карте, если сработали системы внутреннего контроля: например, при подозрении на мошенничество, сигналах антифрода, необычной активности по счёту, неверном вводе PIN-кода или при наличии задолженности. Такая блокировка не является обвинением — это мера предосторожности для защиты клиента и банка. Если операция была заблокирована, клиенту нужно связаться с банком, уточнить причину и подтвердить законность операции. Банк обязан разъяснить основание блокировки. Если после обращения решение банка кажется необоснованным, можно подать заявление в АРРФР. При этом важно помнить: если человек сам участвует в дропперской схеме или помогает переводить чужие деньги, последствия уже могут быть уголовными.",https://stop-piramida.kz/videos/dropperstvo/bank-zablokiroval-kartu-ili-operacziyu-chto-eto-znachit,https://vimeo.com/1185395309,outputs/videos/dropperstvo/1185395309.mp4,yes
dropperstvo,1184566961,Информация | Банкоматы больше не анонимны,"С 1 января 2026 года банки в Казахстане должны будут хранить видеозаписи с банкоматов минимум 180 дней. Если операция покажется подозрительной, участников можно будет установить задним числом. Мера связана с ростом обналичивания через сомнительные схемы: по данным АФМ, за последние годы через банкоматы было обналичено 13,3 трлн тенге. Контроль усиливают, чтобы снизить использование карт дропперов и усложнить вывод денег, полученных преступным путём. При этом обычные операции через банкомат сами по себе не являются основанием для налоговой проверки.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-bankomatyi-bolshe-ne-anonimnyi,https://vimeo.com/1184566961,outputs/videos/dropperstvo/1184566961.mp4,yes
dropperstvo,1185154617,Информация | Дропперы под прицелом полиции,"С 16 сентября в Казахстане вступает в силу закон, впервые устанавливающий уголовную ответственность для «дропперов» — людей, передающих или продающих свои банковские карты для обналичивания украденных денег. С 31 августа также запрещён ввоз и использование сим-боксов: теперь их могут применять только лицензированные операторы связи. Все эти меры предусмотрены законом об усилении защиты прав потребителей финансовых услуг от 30 июня 2025 года и являются частью масштабной кампании по борьбе с телефонными и интернет-мошенниками. Полиция уже демонстрирует первые результаты. В Актобе задержан 26-летний мужчина, подозреваемый в обмане пожилых людей. В Бишкеке совместная операция Казахстана, Кыргызстана и России ликвидировала канал интернет-мошенников: изъят сим-бокс на 32 слота, десятки SIM-карт и оборудование для подмены звонков. В МВД подчёркивают: новые законы перекрывают мошенникам ключевые каналы — и через дропперов, и через сим-боксы. Безнаказанность для подельников заканчивается. Как самому не оказаться «дроппером» и избежать срока: • Не передавайте карту или реквизиты третьим лицам. • Не соглашайтесь на «лёгкую подработку» с переводами или обналичкой. ⚠️ Stop Piramida предупреждает: даже если вы не знали, что помогаете мошенникам, закон всё равно считает это преступлением.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-dropperyi-pod-priczelom-policzii,https://vimeo.com/1185154617,outputs/videos/dropperstvo/1185154617.mp4,yes
dropperstvo,1180268887,Информация | Как не стать дроппером?,"Сайты и приложения с вакансиями ежедневно посещают тысячи людей в поисках работы. Объявления с высокой зарплатой, свободным графиком и без требований к образованию или опыту легко привлекают внимание. Однако за такими “выгодными” предложениями нередко скрываются мошеннические схемы. Из-за свободного размещения объявлений и слабой модерации мошенники публикуют на популярных площадках вакансии дропперов. Они маскируют их под обычную работу — например, курьера или удалённого сотрудника. Иногда такие предложения рассылают напрямую в соцсетях, мессенджерах и по электронной почте. Общение, как правило, ведётся в анонимных чатах или через подставные номера, а условия работы описываются поверхностно и без конкретики. ‼️Слишком выгодные условия, гибкий график, минимум усилий и высокий доход — всё это может быть признаком недобросовестной вакансии. Вот характерные признаки работы дроппером: не требуют образования и опыта;предлагают полностью удалённую занятость без оформления в офисе;работа неофициальная;просят открыть на своё имя несколько банковских карт;предлагают обналичивать деньги и переводить их на указанные счета;обещают доход в виде процента от сумм, которые вы переводите;работа может быть связана с покупкой и переводом криптовалюты.",https://stop-piramida.kz/videos/dropperstvo/kak-ne-stat-dropperom,https://vimeo.com/1180268887,outputs/videos/dropperstvo/1180268887.mp4,yes
dropperstvo,1185510210,Информация | Уголовная ответственность для дропперов,"За передачу банковской карты, счёта или доступа к онлайн-банкингу третьим лицам за вознаграждение вводится уголовная ответственность. Новая статья направлена против дропперов — людей, через которых мошенники принимают и выводят украденные деньги. Дропперам может грозить блокировка всех банковских счетов, попадание в реестр подозрительных лиц, проблемы с получением кредитов, займов и новых карт, а также лишение свободы до 7 лет. Это касается не только граждан Казахстана, но и иностранцев, участвующих в таких схемах.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-ugolovnaya-otvetstvennost-dlya-dropperov,https://vimeo.com/1185510210,outputs/videos/dropperstvo/1185510210.mp4,yes
dropperstvo,1181545258,Экспертное мнение | Дропперы — щупальца мошенников,Фрагмент из общественно-политического шоу «Итоги» на телеканале «Хабар».,https://stop-piramida.kz/videos/dropperstvo/moshennichestvo-dropperyi-%E2%80%94-shhupalcza-moshennikov,https://vimeo.com/1181545258,outputs/videos/dropperstvo/1181545258.mp4,yes
dropperstvo,1177996224,Экспертное мнение | Мошенники запугивают дропперов,"Мошенники запугивают дропперов и вымогают деньги, выдавая себя за сотрудников правоохранительных органов. Что делать в таком случае?",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-moshenniki-zapugivayut-dropperov,https://vimeo.com/1177996224,outputs/videos/dropperstvo/1177996224.mp4,yes
dropperstvo,1001506821,Экспертное мнение | О необходимости привлечения дропперов к уголовной ответственности,Дропперы — это соучастники преступления.,https://stop-piramida.kz/videos/dropperstvo/dropperstvo-o-neobxodimosti-privlecheniya-dropperov-k-ugolovnoj-otvetstvennosti,https://vimeo.com/1001506821,outputs/videos/dropperstvo/1001506821.mp4,yes
dropperstvo,1185154146,Экспертное мнение | Уголовное наказание для дропперов,"В Казахстане есть профессиональные дропперы, которые оказывают услуги мошенникам за денежное вознаграждение. Об этом в интервью BES.media сообщил руководитель проекта Stop-piramida.kz Юрий Ли.",https://stop-piramida.kz/videos/dropperstvo/dropperstvo-ugolovnoe-nakazanie-dlya-dropperov,https://vimeo.com/1185154146,outputs/videos/dropperstvo/1185154146.mp4,yes
dropperstvo,1177998915,"Экспертное мнение | Что делать, если стал дроппером?","Что делать, если вы стали дроппером, и кто подпадает под статью о дропперстве?","https://stop-piramida.kz/videos/dropperstvo/dropperstvo-chto-delat,-esli-stal-dropperom",https://vimeo.com/1177998915,outputs/videos/dropperstvo/1177998915.mp4,yes
fejkovyie-vyiplatyi,1185509551,Фейковые выплаты |,Мошенники обещают государственные выплаты от имени Национального банка.,https://stop-piramida.kz/videos/fejkovyie-vyiplatyi/fejkovyie-vyiplatyi-gosudarstvennaya-pomoshh-zhitelyam-respubliki-kazaxstan-ot-nbrk,https://vimeo.com/1185509551,outputs/videos/fejkovyie-vyiplatyi/1185509551.mp4,yes
fejkovyie-vyiplatyi,1182332614,Фейковые выплаты |,"Под видом государственной программы сайт обещает компенсацию «в целях поддержки населения и содействия импортозамещению». На деле это легенда, рассчитанная на доверие граждан: человеку предлагают ввести ИИН, якобы проверить право на выплату от 150 000 тенге, узнать «положенную сумму» и получить деньги на карту или счет. Мошенники снова используют старую, но до сих пор эффективную схему: обещают гражданам Казахстана якобы государственные выплаты, компенсации и «финансовую помощь» от имени президента, правительства или министерств. На таких сайтах обычно указывают крупные суммы, пишут о срочности, ссылаются на несуществующие указы и постановления, а затем предлагают ввести ИИН, данные карты или оплатить «комиссию», «госпошлину» либо «подтверждение перевода». Признаки фейкового проекта: ссылки на вымышленные государственные программы; использование фото и имен должностных лиц для создания ложного доверия; обещание выплат почти каждому без ясных оснований; давление через ограниченные сроки и «срочное распоряжение»; запрос ИИН и дальнейшее выманивание денег под видом комиссий. Важно помнить: реальные государственные выплаты не оформляются через сомнительные сайты, не требуют перевода денег для «разморозки» или «активации», а проверять информацию нужно только через официальные государственные ресурсы.",https://stop-piramida.kz/videos/fejkovyie-vyiplatyi/fejkovyie-vyiplatyi-gosudarstvennaya-programma-pomoshhi,https://vimeo.com/1182332614,outputs/videos/fejkovyie-vyiplatyi/1182332614.mp4,yes
fejkovyie-vyiplatyi,1185154779,Фейковые выплаты |,"Мошенники создали Telegram-канал «ҚМДБ — рәсім арнасы» и выдают его за официальный ресурс ДУМК. В канале публикуют фейковые посты о якобы одобренном «гранте от муфтия» на 1 млн тенге, а затем требуют оплатить «членский взнос» — 35 000 тенге. После перевода на карту физического лица жертве отправляют поддельный сертификат, но никакого гранта не существует.",https://stop-piramida.kz/videos/fejkovyie-vyiplatyi/fejkovyie-vyiplatyi-grant-ot-muftiya-moshenniki-prikryivayutsya-imenem-dumk,https://vimeo.com/1185154779,outputs/videos/fejkovyie-vyiplatyi/1185154779.mp4,yes
fejkovyie-vyiplatyi,1184399530,Фейковые выплаты |,"Мошенники просят прислать квитанции об оплате электричества, якобы для начисления бонусов.",https://stop-piramida.kz/videos/fejkovyie-vyiplatyi/fejkovyie-vyiplatyi-keshbek-za-kommunalku,https://vimeo.com/1184399530,outputs/videos/fejkovyie-vyiplatyi/1184399530.mp4,yes
fejkovyie-vyiplatyi,1185395379,Фейковые выплаты |,"Мошенники запустили рекламу от якобы Фонда поддержки граждан РК, информирующего о программе разовых соцвыплат для сотрудников госучреждений.",https://stop-piramida.kz/videos/fejkovyie-vyiplatyi/fejkovyie-vyiplatyi-soczvyiplatyi-dlya-gossluzhashhix,https://vimeo.com/1185395379,outputs/videos/fejkovyie-vyiplatyi/1185395379.mp4,yes
fejkovyie-vyiplatyi,1002652334,"Фейковые выплаты | Компенсация по налогам от государства,","Мошенники крадут данные ваших банковских карт, предлагая «компенсацию по НДС от государства».","https://stop-piramida.kz/videos/fejkovyie-vyiplatyi/fejkovyie-programmyi-kompensacziya-po-nalogam-ot-gosudarstva,-czentr-kompensaczij-rk",https://vimeo.com/1002652334,outputs/videos/fejkovyie-vyiplatyi/1002652334.mp4,yes
fejkovyie-vyiplatyi,1169582944,Фейковые выплаты | Мошенники обещают,"Мошенники распространяют фейковые программы выплат, прикрываясь брендом Kaspi. Официально это опровергнуто.",https://stop-piramida.kz/videos/fejkovyie-vyiplatyi/otvet-ot-kaspi.kz,https://vimeo.com/1169582944,outputs/videos/fejkovyie-vyiplatyi/1169582944.mp4,yes
fejkovyie-vyiplatyi,1177975284,Фейковые выплаты | “Вам оставили наследство”,Старая мошенническая схема с «письмами счастья» о неожиданном крупном наследстве.,https://stop-piramida.kz/videos/fejkovyie-vyiplatyi/fejkovyie-vyiplatyi-%E2%80%9Cvam-ostavili-nasledstvo%E2%80%9D,https://vimeo.com/1177975284,outputs/videos/fejkovyie-vyiplatyi/1177975284.mp4,yes
finansovyie-piramidyi,1180298110,Финансовая пирамида | Информация |,Как финансовая пирамида Antares завлекала людей?,"https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-informacziya-antares,-antares-trade",https://vimeo.com/1180298110,outputs/videos/finansovyie-piramidyi/1180298110.mp4,yes
finansovyie-piramidyi,1000651932,Финансовая пирамида | Информация |,Компания осуществляла привлечение средств вкладчиков под предлогом инвестиций в развитие БАДов и других лекарственных препаратов.,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-informacziya-chia-tai-tianging,https://vimeo.com/1000651932,outputs/videos/finansovyie-piramidyi/1000651932.mp4,yes
finansovyie-piramidyi,1000655160,Финансовая пирамида | Информация |,,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-finiko-chast-1,https://vimeo.com/1000655160,outputs/videos/finansovyie-piramidyi/1000655160.mp4,yes
finansovyie-piramidyi,1000655523,Финансовая пирамида | Информация |,,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-informacziya-finiko-chast-1,https://vimeo.com/1000655523,outputs/videos/finansovyie-piramidyi/1000655523.mp4,yes
finansovyie-piramidyi,1000655918,Финансовая пирамида | Информация |,,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovyie-piramidyi-informacziya-finiko-chast-3,https://vimeo.com/1000655918,outputs/videos/finansovyie-piramidyi/1000655918.mp4,yes
finansovyie-piramidyi,1000649682,Финансовая пирамида | Информация |,,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-informacziya-has-holding,https://vimeo.com/1000649682,outputs/videos/finansovyie-piramidyi/1000649682.mp4,yes
finansovyie-piramidyi,1184518434,Финансовая пирамида | Информация |,,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-hrt-organizatorov-posadili,https://vimeo.com/1184518434,outputs/videos/finansovyie-piramidyi/1184518434.mp4,yes
finansovyie-piramidyi,1180044960,Финансовая пирамида | Информация |,Наказание в виде лишения свободы сроком на 6 лет с конфискацией имущества за организацию финансовой пирамиды.,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-informacziya-hrt-prigovor-suda-vstupil-v-silu,https://vimeo.com/1180044960,outputs/videos/finansovyie-piramidyi/1180044960.mp4,yes
finansovyie-piramidyi,1035911199,Финансовая пирамида | Информация |,,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-proekt-jdl-ruxnul,https://vimeo.com/1035911199,outputs/videos/finansovyie-piramidyi/1035911199.mp4,yes
finansovyie-piramidyi,1178033769,Финансовая пирамида | Информация |,"Суд вынес приговор троим лицам, рекламировавшим финансовую пирамиду ""JDL"", прикрывавшуюся крупным китайским маркетплейсом. Их действия квалифицированы по ст. 217-1 УК РК — «Реклама финансовой (инвестиционной) пирамиды».",https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-informacziya-do-dvux-let-lisheniya-svobodyi-za-reklamu-finansovyix-piramid!,https://vimeo.com/1178033769,outputs/videos/finansovyie-piramidyi/1178033769.mp4,yes
finansovyie-piramidyi,1185395438,Финансовая пирамида | Информация |,Реклама пирамид имеет последствия — штрафы и даже уголовная ответственность. Жительница Усть-Каменогорска уже убедилась в этом на своём опыте.,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovyie-piramidyi-live-good-otvetstvennost-za-reklamu-piramidyi,https://vimeo.com/1185395438,outputs/videos/finansovyie-piramidyi/1185395438.mp4,yes
finansovyie-piramidyi,1000650187,Финансовая пирамида | Информация |,,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-informacziya-qnet,https://vimeo.com/1000650187,outputs/videos/finansovyie-piramidyi/1000650187.mp4,yes
finansovyie-piramidyi,1000653551,Финансовая пирамида | Информация |,,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-informacziya-s-group-prodaet-tokenyi-pri-vozbuzhdennom-ugolovnom-dele,https://vimeo.com/1000653551,outputs/videos/finansovyie-piramidyi/1000653551.mp4,yes
finansovyie-piramidyi,1037369057,Финансовая пирамида | Информация |,,https://stop-piramida.kz/videos/finansovyie-piramidyi/finansovaya-piramida-informacziya-privlekli-k-otvetstvennosti-za-reklamu-piramidyi-s-system,https://vimeo.com/1037369057,outputs/videos/finansovyie-piramidyi/1037369057.mp4,yes
